order_id,date,store,category,customer,qty,unit_price,amount,is_return
SO-202607-0044,2026-07-08,深圳南山店,Milk Tea,蒋清和,3,16.33,48.99,No
SO-202607-0014,2026-07-09,北京海淀店,Milk Tea,王雅琴,-2,31.76,-63.52,Yes
SO-202607-0003,2026-07-16,北京朝阳店,Bakery,赵宛清,1,17.39,17.39,No
SO-202607-0038,2026-07-11,深圳南山店,Bakery,朱明夏,2,21.19,42.38,No
SO-202607-0017,2026-07-19,北京海淀店,Coffee,陈嘉禾,3,24.37,73.11,No
SO-202607-0043,2026-07-16,深圳南山店,Coffee,李思远,4,26.44,105.76,No
SO-202607-0040,2026-07-23,深圳南山店,Coffee,郑亦初,3,34.69,104.07,No
SO-202607-0033,2026-07-11,深圳南山店,Milk Tea,赵宛清,1,19.39,19.39,No
SO-202607-0011,2026-07-04,北京海淀店,Bakery,杨渡舟,2,13.88,27.76,No
SO-202607-0021,2026-07-27,北京海淀店,Milk Tea,孙则明,4,17.72,70.88,No
SO-202607-0007,2026-07-24,北京朝阳店,Bakery,郑亦初,3,17.14,51.42,No
SO-202607-0019,2026-07-09,北京海淀店,Milk Tea,李思远,2,30.45,60.9,No
SO-202607-0036,2026-07-26,深圳南山店,Milk Tea,褚南舟,3,19.62,58.86,No
SO-202607-0010,2026-07-10,北京海淀店,Bakery,孙则明,3,13.73,41.19,No
SO-202607-0012,2026-07-17,北京海淀店,Coffee,秦望舒,1,26.14,26.14,No
SO-202607-0029,2026-07-02,上海静安店,Bakery,王雅琴,4,14.92,59.68,No
SO-202607-0027,2026-07-06,上海静安店,Coffee,蒋清和,4,26.88,107.52,No
SO-202607-0030,2026-07-16,上海静安店,Bakery,蒋清和,3,24.33,72.99,No
SO-202607-0006,2026-07-26,北京朝阳店,Bakery,李思远,2,25.62,51.24,No
SO-202607-0037,2026-07-20,深圳南山店,Bakery,张慕之,-2,21.09,-42.18,Yes
SO-202607-0020,2026-07-25,北京海淀店,Coffee,张慕之,4,27.15,108.6,No
SO-202607-0035,2026-07-06,深圳南山店,Coffee,许砚秋,3,22.03,66.09,No
SO-202607-0013,2026-07-05,北京海淀店,Bakery,冯砚白,1,19.07,19.07,No
SO-202607-0016,2026-07-13,北京海淀店,Bakery,吴听澜,3,23.66,70.98,No
SO-202607-0041,2026-07-19,深圳南山店,Milk Tea,赵宛清,4,29.68,118.72,No
SO-202607-0009,2026-07-04,北京朝阳店,Coffee,吴听澜,1,28.49,28.49,No
SO-202607-0045,2026-07-17,深圳南山店,Coffee,许砚秋,4,23.74,94.96,No
SO-202607-0032,2026-07-08,深圳南山店,Bakery,卫疏桐,1,18.98,18.98,No
SO-202607-0039,2026-07-01,深圳南山店,Coffee,周知微,3,18.81,56.43,No
SO-202607-0001,2026-07-04,北京朝阳店,Bakery,冯砚白,2,22.64,45.28,No
SO-202607-0004,2026-07-28,北京朝阳店,Bakery,卫疏桐,1,22.57,22.57,No
SO-202607-0005,2026-07-06,北京朝阳店,Coffee,孙则明,3,33.45,100.35,No
SO-202607-0034,2026-07-22,深圳南山店,Milk Tea,张慕之,4,19.04,76.16,No
SO-202607-0015,2026-07-16,北京海淀店,Coffee,刘闻笛,3,23.69,71.07,No
SO-202607-0024,2026-07-14,上海静安店,Coffee,冯砚白,4,36.19,144.76,No
SO-202607-0026,2026-07-06,上海静安店,Coffee,赵宛清,4,19.13,76.52,No
SO-202607-0042,2026-07-09,深圳南山店,Milk Tea,陈嘉禾,2,16.27,32.54,No
SO-202607-0018,2026-07-10,北京海淀店,Bakery,蒋清和,2,22.02,44.04,No
SO-202607-0025,2026-07-06,上海静安店,Milk Tea,王雅琴,1,18.62,18.62,No
SO-202607-0031,2026-07-20,上海静安店,Milk Tea,褚南舟,1,17.4,17.4,No
SO-202607-0022,2026-07-28,北京海淀店,Bakery,赵宛清,1,18.24,18.24,No
SO-202607-0002,2026-07-09,北京朝阳店,Bakery,刘闻笛,3,11.56,34.68,No
SO-202607-0023,2026-07-10,上海静安店,Coffee,郑亦初,1,26.5,26.5,No
SO-202607-0008,2026-07-01,北京朝阳店,Milk Tea,周知微,3,27.74,83.22,No
