order_id,date,store,category,customer,qty,unit_price,amount,is_return
SO-202602-0036,2026-02-23,深圳南山店,Milk Tea,卫疏桐,2,29.93,59.86,No
SO-202602-0044,2026-02-14,深圳南山店,Bakery,杨渡舟,3,18.54,55.62,No
SO-202602-0019,2026-02-10,北京海淀店,Coffee,褚南舟,1,29.0,29.0,No
SO-202602-0002,2026-02-24,北京朝阳店,Milk Tea,王雅琴,2,18.18,36.36,No
SO-202602-0045,2026-02-12,深圳南山店,Coffee,李思远,1,28.85,28.85,No
SO-202602-0006,2026-02-22,北京朝阳店,Milk Tea,周知微,3,21.58,64.74,No
SO-202602-0025,2026-02-14,上海静安店,Bakery,郑亦初,3,21.66,64.98,No
SO-202602-0009,2026-02-01,北京朝阳店,Milk Tea,郑亦初,3,19.52,58.56,No
SO-202602-0003,2026-02-28,北京朝阳店,Bakery,郑亦初,4,14.71,58.84,No
SO-202602-0041,2026-02-10,深圳南山店,Bakery,吴听澜,1,14.72,14.72,No
SO-202602-0016,2026-02-25,北京海淀店,Bakery,周知微,1,20.39,20.39,No
SO-202602-0010,2026-02-17,北京朝阳店,Bakery,张慕之,3,14.52,43.56,No
SO-202602-0030,2026-02-22,上海静安店,Coffee,张慕之,3,25.34,76.02,No
SO-202602-0015,2026-02-18,北京海淀店,Bakery,杨渡舟,2,22.65,45.3,No
SO-202602-0027,2026-02-21,上海静安店,Milk Tea,褚南舟,3,18.49,55.47,No
SO-202602-0032,2026-02-20,上海静安店,Bakery,陈嘉禾,4,18.6,74.4,No
SO-202602-0026,2026-02-20,上海静安店,Coffee,王雅琴,2,19.91,39.82,No
SO-202602-0034,2026-02-21,深圳南山店,Bakery,郑亦初,4,25.94,103.76,No
SO-202602-0013,2026-02-01,北京海淀店,Milk Tea,朱明夏,-2,29.7,-59.4,Yes
SO-202602-0014,2026-02-23,北京海淀店,Milk Tea,冯砚白,3,18.51,55.53,No
SO-202602-0018,2026-02-23,北京海淀店,Bakery,蒋清和,2,12.09,24.18,No
SO-202602-0011,2026-02-04,北京朝阳店,Bakery,赵宛清,2,15.33,30.66,No
SO-202602-0040,2026-02-28,深圳南山店,Coffee,刘闻笛,4,22.44,89.76,No
SO-202602-0043,2026-02-14,深圳南山店,Milk Tea,卫疏桐,4,19.81,79.24,No
SO-202602-0007,2026-02-25,北京朝阳店,Milk Tea,刘闻笛,4,20.14,80.56,No
SO-202602-0039,2026-02-22,深圳南山店,Coffee,褚南舟,3,28.69,86.07,No
SO-202602-0008,2026-02-28,北京朝阳店,Coffee,张慕之,3,24.9,74.7,No
SO-202602-0042,2026-02-22,深圳南山店,Bakery,张慕之,4,19.71,78.84,No
SO-202602-0028,2026-02-11,上海静安店,Coffee,李思远,3,30.25,90.75,No
SO-202602-0020,2026-02-21,北京海淀店,Milk Tea,秦望舒,3,19.96,59.88,No
SO-202602-0004,2026-02-22,北京朝阳店,Coffee,郑亦初,2,18.38,36.76,No
SO-202602-0017,2026-02-08,北京海淀店,Milk Tea,秦望舒,3,30.68,92.04,No
SO-202602-0035,2026-02-04,深圳南山店,Coffee,吴听澜,3,26.64,79.92,No
SO-202602-0012,2026-02-13,北京朝阳店,Milk Tea,赵宛清,3,26.73,80.19,No
SO-202602-0005,2026-02-10,北京朝阳店,Bakery,冯砚白,-4,14.99,-59.96,Yes
SO-202602-0023,2026-02-19,北京海淀店,Bakery,许砚秋,2,11.01,22.02,No
SO-202602-0024,2026-02-08,北京海淀店,Bakery,蒋清和,4,12.99,51.96,No
SO-202602-0001,2026-02-04,北京朝阳店,Bakery,陈嘉禾,2,25.19,50.38,No
SO-202602-0037,2026-02-15,深圳南山店,Bakery,张慕之,1,16.75,16.75,No
SO-202602-0022,2026-02-16,北京海淀店,Milk Tea,杨渡舟,3,20.33,60.99,No
SO-202602-0021,2026-02-18,北京海淀店,Coffee,朱明夏,1,18.31,18.31,No
SO-202602-0038,2026-02-21,深圳南山店,Coffee,李思远,1,24.65,24.65,No
SO-202602-0047,2026-02-08,深圳南山店,Bakery,吴听澜,1,19.33,19.33,No
SO-202602-0031,2026-02-27,上海静安店,Bakery,杨渡舟,1,22.76,22.76,No
SO-202602-0046,2026-02-25,深圳南山店,Milk Tea,李思远,2,30.6,61.2,No
SO-202602-0033,2026-02-26,上海静安店,Bakery,秦望舒,4,18.78,75.12,No
