order_id,date,store,category,customer,qty,unit_price,amount,is_return
SO-202606-0041,2026-06-20,深圳南山店,Milk Tea,周知微,4,30.36,121.44,No
SO-202606-0032,2026-06-05,上海静安店,Coffee,赵宛清,2,36.38,72.76,No
SO-202606-0039,2026-06-02,深圳南山店,Milk Tea,冯砚白,1,20.01,20.01,No
SO-202606-0011,2026-06-07,北京海淀店,Coffee,赵宛清,4,23.11,92.44,No
SO-202606-0008,2026-06-04,北京朝阳店,Coffee,褚南舟,4,37.72,150.88,No
SO-202606-0018,2026-06-11,北京海淀店,Bakery,郑亦初,2,25.07,50.14,No
SO-202606-0010,2026-06-12,北京朝阳店,Bakery,王雅琴,2,24.85,49.7,No
SO-202606-0006,2026-06-03,北京朝阳店,Milk Tea,郑亦初,-4,16.06,-64.24,Yes
SO-202606-0029,2026-06-06,上海静安店,Coffee,刘闻笛,2,32.38,64.76,No
SO-202606-0035,2026-06-24,深圳南山店,Milk Tea,郑亦初,1,25.89,25.89,No
SO-202606-0021,2026-06-21,北京海淀店,Coffee,郑亦初,2,18.25,36.5,No
SO-202606-0009,2026-06-16,北京朝阳店,Milk Tea,冯砚白,3,23.68,71.04,No
SO-202606-0043,2026-06-11,深圳南山店,Milk Tea,韩令仪,3,19.46,58.38,No
SO-202606-0001,2026-06-05,北京朝阳店,Coffee,孙则明,3,19.25,57.75,No
SO-202606-0020,2026-06-27,北京海淀店,Milk Tea,李思远,2,24.58,49.16,No
SO-202606-0036,2026-06-09,深圳南山店,Milk Tea,沈酌月,3,18.4,55.2,No
SO-202606-0012,2026-06-08,北京海淀店,Coffee,秦望舒,2,37.47,74.94,No
SO-202606-0015,2026-06-18,北京海淀店,Milk Tea,卫疏桐,2,16.52,33.04,No
SO-202606-0044,2026-06-06,深圳南山店,Bakery,冯砚白,1,25.79,25.79,No
SO-202606-0007,2026-06-17,北京朝阳店,Coffee,吴听澜,2,28.35,56.7,No
SO-202606-0045,2026-06-03,深圳南山店,Coffee,赵宛清,3,25.01,75.03,No
SO-202606-0017,2026-06-07,北京海淀店,Milk Tea,冯砚白,4,23.38,93.52,No
SO-202606-0022,2026-06-28,北京海淀店,Bakery,沈酌月,3,21.91,65.73,No
SO-202606-0042,2026-06-03,深圳南山店,Milk Tea,秦望舒,3,28.38,85.14,No
SO-202606-0025,2026-06-17,上海静安店,Coffee,杨渡舟,3,33.43,100.29,No
SO-202606-0002,2026-06-12,北京朝阳店,Coffee,李思远,2,35.02,70.04,No
SO-202606-0026,2026-06-02,上海静安店,Milk Tea,李思远,1,29.77,29.77,No
SO-202606-0016,2026-06-06,北京海淀店,Milk Tea,卫疏桐,4,23.4,93.6,No
SO-202606-0024,2026-06-08,上海静安店,Coffee,冯砚白,3,33.55,100.65,No
SO-202606-0033,2026-06-09,上海静安店,Bakery,褚南舟,2,10.19,20.38,No
SO-202606-0005,2026-06-14,北京朝阳店,Coffee,杨渡舟,2,29.54,59.08,No
SO-202606-0004,2026-06-01,北京朝阳店,Milk Tea,冯砚白,4,20.5,82.0,No
SO-202606-0019,2026-06-04,北京海淀店,Coffee,王雅琴,4,28.42,113.68,No
SO-202606-0003,2026-06-23,北京朝阳店,Bakery,秦望舒,2,22.16,44.32,No
SO-202606-0047,2026-06-15,深圳南山店,Milk Tea,秦望舒,4,25.81,103.24,No
SO-202606-0014,2026-06-20,北京海淀店,Bakery,朱明夏,4,9.35,37.4,No
SO-202606-0030,2026-06-15,上海静安店,Coffee,秦望舒,4,20.63,82.52,No
SO-202606-0023,2026-06-10,北京海淀店,Bakery,朱明夏,3,16.29,48.87,No
SO-202606-0028,2026-06-08,上海静安店,Coffee,王雅琴,1,26.95,26.95,No
SO-202606-0037,2026-06-05,深圳南山店,Bakery,秦望舒,-4,24.71,-98.84,Yes
SO-202606-0046,2026-06-26,深圳南山店,Coffee,许砚秋,4,20.61,82.44,No
SO-202606-0038,2026-06-10,深圳南山店,Coffee,沈酌月,2,32.64,65.28,No
SO-202606-0031,2026-06-22,上海静安店,Bakery,卫疏桐,2,13.67,27.34,No
SO-202606-0027,2026-06-01,上海静安店,Milk Tea,孙则明,2,28.24,56.48,No
SO-202606-0040,2026-06-06,深圳南山店,Milk Tea,冯砚白,4,24.49,97.96,No
SO-202606-0013,2026-06-10,北京海淀店,Coffee,卫疏桐,2,36.27,72.54,No
