order_id,date,store,category,customer,qty,unit_price,amount
SO-202605-0034,2026-05-09,深圳南山店 ,Bakery,朱明夏,1,16.07,16.07
SO-202605-0010,2026-05-22,北京朝阳店,Bakery,韩令仪,2,15.37,30.74
SO-202605-0006,2026-05-10,北京朝阳店,Milk Tea,陈嘉禾,2,17.43,34.86
SO-202605-0009,2026-05-02,北京朝阳店,Milk Tea,冯砚白,1,29.83,
SO-202605-0002,2026-05-11,北京朝阳店,coffee,秦望舒,2,26.27,52.54
SO-202605-0038,2026-05-25,深圳南山店,Coffee,王雅琴,4,33.06,132.24
SO-202605-0012,2026-05-14,北京海淀店,Coffee,周知微,3,34.29,102.87
SO-202605-0018,2026-05-13,北京海淀店,Coffee,李思远,1,35.43,35.43
SO-202605-0025,2026-05-04,上海静安店,Bakery,冯砚白,2,17.31,34.62
SO-202605-0028,2026-05-01,上海静安店,BAKERY,赵宛清,-2,21.21,-42.42
SO-202605-0015,2026-05-05,北京海淀店,Coffee, 周知微,4,24.60,98.40
SO-202605-0012,2026-05-14,北京海淀店,Coffee,周知微,3,34.29,102.87
SO-202605-0016,2026-05-13,北京海淀店,Coffee ,王雅琴,1,24.24,24.24
SO-202605-0030,2026-05-16,上海静安店,Bakery,陈嘉禾,2,9.27,18.54
SO-202605-0011,2026-05-21,北京海淀店,Coffee,李思远,2,19.12,38.24
SO-202605-0035,2026-05-08,深圳南山店,Bakery,沈酌月,2,12.63,25.26
SO-202605-0040,2026-05-09,深圳南山店,Milk Tea,褚南舟,3,29.71,89.13
SO-202605-0031,2026-05-02,上海静安店,Bakery,沈酌月,3,20.56,61.68
SO-202605-0039,2026-05-03,深圳南山店 ,Coffee,李思远,1,33.04,33.04
SO-202605-0021,2026.05.02,北京海淀店,Bakery,孙则明,3,25.15,75.45
SO-202605-0036,2026.05.22,深圳南山店,Bakery,冯砚白,1,24.95,24.95
SO-202605-0005,2026-05-28,北京朝阳店,Milk Tea,李思远,4,31.07,124.28
SO-202605-0026,2026.05.17,上海静安店, Coffee,卫疏桐,3,31.45,94.35
SO-202605-0040,2026-05-09,深圳南山店,Milk Tea,褚南舟,3,29.71,89.13
SO-202605-0007,2026-05-16,北京朝阳店,Milk Tea,沈酌月,3,31.30,93.90
SO-202605-0001,2026-05-22,北京朝阳店,MILK TEA,赵宛清,4,21.02,84.08
SO-202605-0024,2026/5/11,上海静安店,Bakery,沈酌月,,20.02,
SO-202605-0020,2026-05-22,北京海淀店,Coffee,孙则明,2,23.89,47.78
SO-202605-0004,2026-05-01,北京朝阳店,Coffee,褚南舟,1,18.72,
SO-202605-0017,2026-05-12,北京海淀店,Milk Tea,孙则明,4,23.08,92.32
SO-202605-0029,2026-05-12,上海静安店,Coffee,卫疏桐,3,25.79,77.37
SO-202605-0032,2026.05.26,上海静安店,milk tea,朱明夏,1,25.45,25.45
SO-202605-0010,2026-05-22,北京朝阳店,Bakery,韩令仪,2,15.37,30.74
SO-202605-0023,2026.05.02,上海静安店,Milk Tea,冯砚白,-4,20.62,-82.48
SO-202605-0013,2026-05-06,北京海淀店,Milk Tea,郑亦初,3,29.18,87.54
SO-202605-0003,2026-05-15,北京朝阳店,Coffee,卫疏桐,3,36.52,109.56
SO-202605-0037,2026-05-15,深圳南山店,Milk Tea,孙则明,2,27.94,55.88
SO-202605-0014,2026-05-02, 北京海淀店,Bakery,张慕之,3,12.41,37.23
SO-202605-0022,2026-05-07,北京海淀店,Bakery, 韩令仪,1,12.96,12.96
SO-202605-0033,2026-05-07,深圳南山店,Coffee,蒋清和,3,30.42,91.26
SO-202605-0008,2026/5/25,北京朝阳店,Bakery,朱明夏,1,16.69,16.69
SO-202605-0027,2026-05-03,上海静安店,Coffee,吴听澜,1,20.83,20.83
SO-202605-0019,2026-05-09,北京海淀店,Milk Tea, 周知微,2,29.05,58.10
