order_id,date,store,category,customer,qty,unit_price,amount
SO-202511-0009,2025-11-27,北京朝阳店,Milk Tea,刘闻笛,2,26.53,53.06
SO-202511-0021,2025-11-15,北京海淀店,Coffee,许砚秋,2,30.32,60.64
SO-202511-0039,2025-11-24,深圳南山店,Coffee,卫疏桐,1,27.26,27.26
SO-202511-0025,2025/11/5,上海静安店, Bakery,褚南舟,1,21.70,
SO-202511-0042,2025/11/14,深圳南山店,Bakery,杨渡舟,2,20.33,
SO-202511-0028,2025-11-01,上海静安店, Bakery, 赵宛清,3,20.75,62.25
SO-202511-0018,2025-11-07,北京海淀店,Bakery, 蒋清和,1,15.21,15.21
SO-202511-0029,2025-11-18,上海静安店,Coffee,褚南舟,4,28.74,114.96
SO-202511-0046,2025-11-15,深圳南山店,Coffee,褚南舟,4,23.23,92.92
SO-202511-0014,2025-11-21,北京朝阳店,Milk Tea,吴听澜,2,17.24,34.48
SO-202511-0001,2025-11-14,北京朝阳店,Milk Tea,王雅琴,2,25.57,51.14
SO-202511-0031,2025-11-25,上海静安店,Bakery,蒋清和,1,16.61,16.61
SO-202511-0035,2025-11-11,上海静安店,Milk Tea, 李思远,4,31.91,127.64
SO-202511-0013,2025-11-13,北京朝阳店,Milk Tea,韩令仪,3,18.73,56.19
SO-202511-0017,2025-11-13,北京海淀店,Milk Tea, 王雅琴,3,27.96,83.88
SO-202511-0026,2025-11-21,上海静安店,Milk Tea,韩令仪,4,30.96,123.84
SO-202511-0011,2025-11-04,北京朝阳店,Milk Tea,卫疏桐,1,28.54,28.54
SO-202511-0005,2025-11-01,北京朝阳店,Bakery,孙则明,3,25.72,77.16
SO-202511-0041,2025-11-11,深圳南山店,MILK TEA, 沈酌月,4,21.11,84.44
SO-202511-0008,2025.11.21,北京朝阳店,Bakery,朱明夏,2,23.83,47.66
SO-202511-0040,2025.11.23,深圳南山店,Bakery,周知微,3,21.16,63.48
SO-202511-0024,2025-11-28,北京海淀店,Bakery,郑亦初,4,17.88,71.52
SO-202511-0007,2025.11.20,北京朝阳店,Bakery, 吴听澜,1,22.89,22.89
SO-202511-0038,2025-11-15,深圳南山店 ,Coffee ,孙则明,3,35.22,105.66
SO-202511-0003,2025-11-04,北京朝阳店,Bakery,沈酌月,,13.20,
SO-202511-0009,2025-11-27,北京朝阳店,Milk Tea,刘闻笛,2,26.53,53.06
SO-202511-0022,2025.11.10,北京海淀店,Coffee,王雅琴,3,34.44,103.32
SO-202511-0034,2025-11-02,上海静安店 ,Coffee,蒋清和,1,21.13,21.13
SO-202511-0036,2025/11/6,深圳南山店,Milk Tea,褚南舟,3,24.59,73.77
SO-202511-0027,2025-11-21, 上海静安店,Coffee ,沈酌月,1,19.91,19.91
SO-202511-0006,2025-11-08,北京朝阳店,BAKERY,蒋清和,3,16.29,48.87
SO-202511-0014,2025-11-21,北京朝阳店,Milk Tea,吴听澜,2,17.24,34.48
SO-202511-0044,2025/11/19,深圳南山店,Milk Tea,陈嘉禾,4,28.75,115.00
SO-202511-0037,2025-11-13,深圳南山店,Coffee,吴听澜,2,30.07,60.14
SO-202511-0045,2025-11-08,深圳南山店, Bakery,朱明夏,3,20.27,60.81
SO-202511-0032,2025-11-24,上海静安店,Coffee,韩令仪,4,31.96,127.84
SO-202511-0023,2025-11-04,北京海淀店,Coffee,刘闻笛,3,30.13,90.39
SO-202511-0020,2025/11/20,北京海淀店,Bakery,沈酌月,3,14.53,43.59
SO-202511-0020,2025/11/20,北京海淀店,Bakery,沈酌月,3,14.53,43.59
SO-202511-0002,2025.11.11,北京朝阳店,Coffee,张慕之,-1,26.66,-26.66
SO-202511-0004,2025-11-25,北京朝阳店,Milk Tea,张慕之,-3,30.36,-91.08
SO-202511-0033,2025-11-18,上海静安店,Coffee,褚南舟,1,24.56,24.56
SO-202511-0010,2025-11-25,北京朝阳店,Milk Tea,李思远,4,30.39,121.56
SO-202511-0016,2025-11-05,北京海淀店,Coffee,朱明夏,2,20.12,40.24
SO-202511-0019,2025.11.13,北京海淀店 ,Milk Tea,刘闻笛,2,23.82,47.64
SO-202511-0012,2025-11-02,北京朝阳店,Bakery,卫疏桐,4,9.88,39.52
SO-202511-0015,2025-11-19,北京海淀店,bakery,郑亦初,1,15.85,15.85
SO-202511-0030,2025-11-10,上海静安店,Milk Tea, 韩令仪,1,19.01,19.01
SO-202511-0043,2025-11-01,深圳南山店,Milk Tea, 吴听澜,3,23.45,70.35
SO-202511-0047,2025-11-26,深圳南山店,Coffee,赵宛清,3,28.51,85.53
