order_id,date,store,category,customer,qty,unit_price,amount
SO-202609-0047,2026-09-11,深圳南山店 ,Coffee,褚南舟,,35.58,
SO-202609-0018,2026-09-07,北京海淀店,Coffee,冯砚白,2,22.20,44.40
SO-202609-0022,2026-09-19,上海静安店,Coffee,蒋清和,2,23.61,47.22
SO-202609-0039,2026/9/4,深圳南山店,Coffee,韩令仪,3,28.56,85.68
SO-202609-0038,2026.09.23,深圳南山店,coffee,冯砚白,2,31.75,63.50
SO-202609-0020,2026-09-26,北京海淀店 ,Bakery,刘闻笛,1,11.67,11.67
SO-202609-0005,2026-09-23,北京朝阳店,Milk Tea,沈酌月,1,30.64,30.64
SO-202609-0014,2026-09-15,北京海淀店,Coffee ,赵宛清,1,27.69,27.69
SO-202609-0026,2026-09-16,上海静安店,Milk Tea , 蒋清和,1,31.88,31.88
SO-202609-0035,2026-09-14,深圳南山店,Bakery,吴听澜,4,14.91,59.64
SO-202609-0041,2026-09-12,深圳南山店,Milk Tea,王雅琴,4,19.95,79.80
SO-202609-0045,2026-09-25,深圳南山店,MILK TEA,郑亦初,3,25.24,75.72
SO-202609-0032,2026-09-28,上海静安店,Coffee,孙则明,2,27.07,54.14
SO-202609-0027,2026.09.18,上海静安店,coffee,王雅琴,4,34.65,138.60
SO-202609-0025,2026-09-18,上海静安店,Coffee,张慕之,3,33.04,99.12
SO-202609-0037,2026-09-04, 深圳南山店,Bakery,王雅琴,3,12.26,36.78
SO-202609-0001,2026-09-18, 北京朝阳店,Coffee, 赵宛清,1,23.04,23.04
SO-202609-0002,2026-09-17,北京朝阳店,Milk Tea,张慕之,2,16.92,33.84
SO-202609-0046,2026-09-05,深圳南山店,Coffee,吴听澜,3,19.22,57.66
SO-202609-0010,2026/9/18,北京海淀店,Milk Tea,朱明夏,4,29.74,118.96
SO-202609-0015,2026-09-07,北京海淀店,Bakery,蒋清和,4,19.62,78.48
SO-202609-0034,2026-09-23,深圳南山店,Coffee,陈嘉禾,4,28.69,114.76
SO-202609-0042,2026-09-18,深圳南山店,Coffee,许砚秋,3,26.99,80.97
SO-202609-0006,2026.09.02,北京朝阳店,Milk Tea, 郑亦初,4,17.46,69.84
SO-202609-0013,2026-09-18,北京海淀店,Coffee,韩令仪,3,19.73,59.19
SO-202609-0036,2026-09-07, 深圳南山店,Coffee,郑亦初,3,21.55,64.65
SO-202609-0012,2026-09-28,北京海淀店,BAKERY,韩令仪,4,9.75,39.00
SO-202609-0028,2026-09-21,上海静安店,coffee,刘闻笛,1,22.81,22.81
SO-202609-0009,2026.09.04,北京朝阳店,coffee, 刘闻笛,2,24.91,49.82
SO-202609-0044,2026.09.02,深圳南山店,Milk Tea, 张慕之,1,29.61,
SO-202609-0040,2026-09-21, 深圳南山店,Milk Tea,李思远,1,23.74,23.74
SO-202609-0016,2026-09-06,北京海淀店 ,Bakery,蒋清和,4,17.36,69.44
SO-202609-0024,2026-09-09,上海静安店,Milk Tea,王雅琴,2,20.49,40.98
SO-202609-0023,2026-09-01,上海静安店,Bakery, 许砚秋,2,13.45,26.90
SO-202609-0011,2026/9/13,北京海淀店,Milk Tea,李思远,-3,18.30,-54.90
SO-202609-0019,2026-09-18,北京海淀店,BAKERY,朱明夏,4,21.34,
SO-202609-0021,2026-09-05,北京海淀店,Coffee,卫疏桐,3,35.09,105.27
SO-202609-0046,2026-09-05,深圳南山店,Coffee,吴听澜,3,19.22,57.66
SO-202609-0029,2026-09-17,上海静安店,milk tea,许砚秋,2,21.51,43.02
SO-202609-0018,2026-09-07,北京海淀店,Coffee,冯砚白,2,22.20,44.40
SO-202609-0004,2026-09-03,北京朝阳店,Bakery,褚南舟,4,10.87,43.48
SO-202609-0017,2026/9/26,北京海淀店,Bakery,朱明夏,1,25.35,25.35
SO-202609-0030,2026-09-26,上海静安店,MILK TEA,杨渡舟,1,27.94,27.94
SO-202609-0008,2026-09-06,北京朝阳店,Milk Tea,吴听澜,1,20.77,20.77
SO-202609-0003,2026-09-23,北京朝阳店,Coffee,朱明夏,3,31.00,93.00
SO-202609-0008,2026-09-06,北京朝阳店,Milk Tea,吴听澜,1,20.77,20.77
SO-202609-0007,2026-09-11,北京朝阳店 ,Milk Tea,赵宛清,4,26.64,106.56
SO-202609-0033,2026-09-07,上海静安店,Milk Tea,孙则明,4,18.58,74.32
SO-202609-0043,2026-09-10,深圳南山店,Bakery,许砚秋,-4,19.25,-77.00
SO-202609-0031,2026-09-14,上海静安店,Milk Tea,刘闻笛,1,18.36,18.36
