order_id,date,store,category,customer,qty,unit_price,amount
SO-202510-0021,2025-10-04,北京海淀店,Bakery,周知微,2,18.37,36.74
SO-202510-0026,2025-10-01,上海静安店,Milk Tea, 张慕之,1,24.93,24.93
SO-202510-0035,2025/10/19,深圳南山店,Coffee,褚南舟,1,21.72,21.72
SO-202510-0038,2025/10/2,深圳南山店,BAKERY,蒋清和,2,25.94,51.88
SO-202510-0016,2025-10-25,北京海淀店,Milk Tea,朱明夏,1,18.63,18.63
SO-202510-0011,2025-10-10,北京朝阳店 ,Bakery,吴听澜,3,24.47,73.41
SO-202510-0031,2025-10-16,上海静安店,Coffee,周知微,4,24.29,97.16
SO-202510-0020,2025-10-07,北京海淀店,Coffee,李思远,1,35.96,35.96
SO-202510-0025,2025-10-13,上海静安店,COFFEE,李思远,2,25.38,50.76
SO-202510-0030,2025-10-06,上海静安店,Coffee,杨渡舟,1,22.78,22.78
SO-202510-0014,2025-10-10,北京海淀店,MILK TEA,周知微,2,27.84,
SO-202510-0026,2025-10-01,上海静安店,Milk Tea, 张慕之,1,24.93,24.93
SO-202510-0009,2025-10-09,北京朝阳店, Coffee,刘闻笛,4,20.82,83.28
SO-202510-0024,2025-10-13,上海静安店,milk tea,冯砚白,4,21.84,87.36
SO-202510-0023,2025-10-06,北京海淀店,Milk Tea, 褚南舟,4,30.22,120.88
SO-202510-0032,2025-10-12,深圳南山店,Coffee, 郑亦初,2,18.52,37.04
SO-202510-0037,2025-10-21,深圳南山店,Coffee,吴听澜,3,30.84,92.52
SO-202510-0017,2025-10-08,北京海淀店,Bakery,沈酌月,1,13.84,13.84
SO-202510-0005,2025-10-19,北京朝阳店, Coffee,王雅琴,3,32.46,
SO-202510-0036,2025-10-23,深圳南山店,Bakery,张慕之,,12.29,
SO-202510-0002,2025/10/16,北京朝阳店,Milk Tea,李思远,2,28.96,57.92
SO-202510-0029,2025/10/8,上海静安店,Milk Tea,秦望舒,-1,27.74,-27.74
SO-202510-0007,2025.10.27,北京朝阳店 ,Milk Tea,张慕之,4,29.66,118.64
SO-202510-0001,2025-10-08,北京朝阳店,Milk Tea,朱明夏,-3,20.16,-60.48
SO-202510-0018,2025-10-17,北京海淀店,Bakery ,沈酌月,2,14.99,29.98
SO-202510-0019,2025-10-23,北京海淀店,Milk Tea,李思远,1,29.17,29.17
SO-202510-0013,2025/10/17,北京海淀店,Coffee,蒋清和,2,34.02,68.04
SO-202510-0015,2025-10-05,北京海淀店,Bakery,朱明夏,4,13.34,53.36
SO-202510-0010,2025-10-18,北京朝阳店,Coffee,秦望舒,3,20.88,62.64
SO-202510-0040,2025-10-01,深圳南山店,Milk Tea,许砚秋,4,28.14,112.56
SO-202510-0034,2025-10-08,深圳南山店,Coffee,刘闻笛,1,29.23,29.23
SO-202510-0003,2025-10-28,北京朝阳店,Bakery,许砚秋,1,13.95,13.95
SO-202510-0004,2025-10-07,北京朝阳店,Bakery,杨渡舟,3,13.32,39.96
SO-202510-0012,2025-10-21,北京朝阳店,Bakery,沈酌月,2,20.57,41.14
SO-202510-0027,2025-10-05, 上海静安店,Milk Tea,蒋清和,4,30.82,123.28
SO-202510-0022,2025-10-23,北京海淀店,Bakery,蒋清和,3,23.72,71.16
SO-202510-0028,2025-10-27,上海静安店,Coffee,韩令仪,3,22.67,68.01
SO-202510-0006,2025-10-05,北京朝阳店,Milk Tea,陈嘉禾,2,23.06,46.12
SO-202510-0039,2025-10-06,深圳南山店, Milk Tea,卫疏桐,4,29.97,119.88
SO-202510-0008,2025-10-18,北京朝阳店,Bakery, 秦望舒,1,19.01,19.01
SO-202510-0020,2025-10-07,北京海淀店,Coffee,李思远,1,35.96,35.96
SO-202510-0033,2025.10.05,深圳南山店,Coffee, 许砚秋,4,28.17,112.68
SO-202510-0040,2025-10-01,深圳南山店,Milk Tea,许砚秋,4,28.14,112.56
